element,atomic_number,Etot,Etot/atomic_number^2,Ekin,Ekin/atomic_number^2,Ecoul,Ecoul/atomic_number^2,Eenuc,Eenuc/atomic_number^2,Exc,Exc/atomic_number^2,e_1s,e_1s/atomic_num^2,ENMAX(eV),EAUG(eV),EAUG/ENMAX,ZVAL,EATOM(eV),EATOM/atomic_num^2,EATOM/ZVAL,EATOM/ZVAL^2,FirstIonizationEnergy(eV),Electron affinity (eV),MendeleevNumber,AtomicWeight,CovalentRadius,Electronegativity(Pauling),Electronegativity(Rahm),NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,valence_energy_avg,valence_energy_min,valence_energy_max,valence_energy_range,weighted_valence_energy,atom_radius,molar_vol,heat_fusion,melting_point,boiling_point,heat_cap,Thermal conductivity,electric_pol,GGAU_Etot,mus_fere,FERE correction,is_s,is_p,is_d,is_ds,is_f,Row_1,Row_2,Row_3,Row_4,Row_5,Row_6,Row_7,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column,Row,magnetic_electrons,magnetic_moment
Fe,26,-34316.09024,-50.7634471,34274.19485,50.70147167,14566.14164,21.5475468,-81718.0374,-120.8846707,-1438.389333,-2.127794871,-6917.82841,-10.23347398,267.883,511.368,1.908922925,8,594.4687,22.86418077,74.3085875,9.288573438,7.902755949,0.153235733,55,55.845,132,1.83,10,2,0,6,0,8,0,0,4,0,4,10.73,0,2.1106628,0.25,0,0.75,0,-6.707974063,-8.0286923,-5.387255826,2.641436474,-7.368333182,140,7.09,13800,1811,3134,25.1,80,8.4,-6,-6.152134316,-0.152134316,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,4,4,4.9
Co,27,-37554.19644,-51.51467276,37510.04746,51.45411174,16032.1111,21.99192195,-89559.75237,-122.8528839,-1536.602654,-2.107822571,-7499.91082,-10.28794351,267.969,477.818,1.78310924,9,813.5563,30.13171481,90.39514444,10.04390494,7.880990982,0.662255094,58,58.933195,126,1.88,11.9,2,0,7,0,9,0,0,3,0,3,10.245,0,1.5484712,0.222222222,0,0.777777778,0,-7.168363507,-8.772080161,-5.564646853,3.207433308,-8.059317204,135,6.67,16200,1768,3200,24.81,100,7.5,-4.65,-4.754348626,-0.104348626,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,4,3,3.87
Ni,28,-40968.92426,-52.25628094,40922.4781,52.19703839,17601.23082,22.45054952,-97853.94212,-124.8137017,-1638.691068,-2.090167179,-8105.478043,-10.33861995,269.533,544.565,2.020401954,10,1077.9025,38.49651786,107.79025,10.779025,7.639503489,1.157170756,61,58.6934,124,1.91,12.9,2,0,8,0,10,0,0,2,0,2,10.32,0,0.5953947,0.2,0,0.8,0,-7.611881892,-9.488583173,-5.735180611,3.753402562,-8.737902661,135,6.59,17200,1728,3186,26.07,91,6.8,-3.65,-3.568785947,0.081214053,0,0,1,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,4,2,2.83
Cu,29,-44566.42365,-52.99218032,44517.35986,52.9338405,19426.98354,23.09986152,-106759.2312,-126.9432,-1751.53587,-2.082682366,-8729.100321,-10.37942963,273.214,516.456,1.890298447,11,1390.98,47.96482759,126.4527273,11.49570248,7.726563357,1.235783745,64,63.546,132,1.9,10.2,1,0,10,0,11,1,0,0,0,1,11.07,0,0,0.090909091,0,0.909090909,0,-5.092991896,-5.504101519,-4.681882272,0.822219247,-5.429354315,135,7.11,13100,1357.77,3200,24.44,400,6.2,-2.03,-1.972580652,0.057419348,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,4,1,1.73
Zn,30,-48343.03723,-53.71448581,48291.87424,53.65763804,21063.151,23.40350111,-115843.3909,-128.7148788,-1854.671541,-2.060746157,-9387.105274,-10.43011697,276.727,575.892,2.081083523,12,1749.0928,58.30309333,145.7577333,12.14647778,9.394174416,-0.601127666,69,65.38,122,1.65,15.9,2,0,10,0,12,0,0,0,0,0,13.96,0,0,0.166666667,0,0.833333333,0,-8.458237636,-10.85581927,-6.060656002,4.795163268,-10.05662539,135,9.16,7350,692.68,1180,25.39,120,5.75,-1.27,-0.84,0.43,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,4,0,0
Ga,31,-52296.10622,-54.41842479,52242.99849,54.3631618,22687.62874,23.60835457,-125269.7071,-130.3534933,-1957.026382,-2.036447848,-10072.85623,-10.4816402,404.601,751.807,1.858144196,13,2148.8281,69.31703548,165.2944692,12.71495917,5.998839532,0.301165997,74,69.723,122,1.81,9.9,2,1,10,0,13,0,5,0,0,5,18.8575,0,0,0.153846154,0.076923077,0.769230769,0,-5.845726868,-8.925851705,-2.76560203,6.160249675,-6.872435147,130,11.8,5590,302.91,2477,25.86,29,8.12,-3.03,-2.37,0.66,0,1,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13,4,1,1.73
Ge,32,-56431.17231,-55.10856671,56376.06275,55.05474878,24379.92281,23.80851837,-135126.014,-131.958998,-2061.143866,-2.012835807,-10783.68164,-10.5309391,410.425,731.744,1.782893342,14,2596.2401,81.13250313,185.4457214,13.24612296,7.897573814,1.232676537,79,72.64,120,2.01,11.1,2,2,10,0,14,0,4,0,0,4,23.005,0.383,0,0.142857143,0.142857143,0.714285714,0,-7.842389547,-11.6062821,-4.078496993,7.527785107,-7.842389547,125,13.63,31800,1211.4,3093,23.22,60,5.84,-4.29,-4.137439287,0.152560713,0,1,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14,4,2,2.83
As,33,-60750.37159,-55.78546519,60693.2159,55.73298062,26142.42903,24.00590361,-145418.8114,-133.5342621,-2167.20517,-1.990087392,-11519.57731,-10.57812425,208.68,462.758,2.217548399,5,170.0753,5.15379697,34.01506,6.803012,9.814963782,0.804486046,84,74.9216,119,2.18,12.5,2,3,10,0,15,0,3,0,0,3,22.175,0,0,0.133333333,0.2,0.666666667,0,-9.811976894,-14.24978664,-5.374167149,8.875619491,-8.924414945,115,12.95,27700,1090,887,24.64,50,4.31,-4.65,-5.06,-0.41,0,1,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,4,3,3.87
Se,34,-65255.93665,-56.44977219,65196.69385,56.39852409,27978.54921,24.20289724,-156155.8034,-135.0828749,-2275.376335,-1.968318629,-12280.50563,-10.62327477,211.534,446.842,2.112388552,6,256.9644,7.557776471,42.8274,7.1379,9.752778161,2.020604625,89,78.96,120,2.55,13.2,2,4,10,0,16,0,2,0,0,2,25.92,0.799,0,0.125,0.25,0.625,0,-11.79687064,-16.90501928,-6.688722008,10.21629727,-10.09415443,115,16.42,5400,494,958,25.363,0.52,3.77,-3.48,-3.55,-0.07,0,1,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,4,2,2.83
Br,35,-69950.15276,-57.10216552,69888.78365,57.05206829,29891.4984,24.40122318,-167344.6516,-136.6078789,-2385.783242,-1.947578157,-13066.43537,-10.66647785,216.264,503.852,2.329800614,7,368.2131,10.52037429,52.60187143,7.514553061,11.81423148,3.363588088,95,79.904,120,2.96,15.2,2,5,10,0,17,0,1,0,0,1,29.48,1.457,0,0.117647059,0.294117647,0.588235294,0,-13.8152208,-19.59399405,-8.036447546,11.5575465,-11.33860369,115,19.78,5800,265.8,332,75.69,0.12,3.05,-4.027581151,-3.934404791,0.09317636,0,1,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17,4,1,1.73
Kr,36,-74835.33783,-57.74331623,74771.80474,57.69429378,31884.22585,24.60202612,-178992.8459,-138.1117638,-2498.522519,-1.927872314,-13877.34409,-10.70782723,185.26,334.95,1.807999568,8,506.4072,14.06686667,63.3009,7.9126125,14.00005605,-0.994969929,101,83.798,116,3,17.4,2,6,10,0,18,0,0,0,0,0,36.06,7.535,0,0.111111111,0.333333333,0.555555556,0,-15.87667379,-22.32895606,-9.424391512,12.90456455,-12.65053265,150.9770115,27.99,1640,115.79,119.93,26.64477586,0.00943,12.44444643,-4.027581151,-3.934404791,0.09317636,0,1,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18,4,0,0
Rb,37,-79901.80823,-58.36509001,79836.58692,58.31744844,33719.50258,24.63075426,-190852.2154,-139.4099455,-2605.682373,-1.903347241,-14720.193,-10.75251497,220.022,423.861,1.926448264,9,662.0594,17.8934973,73.56215556,8.17357284,4.176800849,0.485918439,4,85.4678,220,0.82,4.2,1,0,0,0,1,1,0,0,0,1,90.7225,0,0,1,0,0,0,-2.323172101,-2.323172101,-2.323172101,0,-2.323172101,235,55.76,2190,312.46,961,31.06,58,47.24,-0.96,-0.675056048,0.284943952,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,5,1,1.73
Sr,38,-85156.7587,-58.97282458,85089.75189,58.92642098,35618.46299,24.66652562,-203150.4631,-140.6859163,-2714.51053,-1.879854938,-15588.59144,-10.79542343,229.282,366.804,1.59979414,10,842.4562,22.1699,84.24562,8.424562,5.695166418,0.052059729,8,87.62,195,0.95,5.7,2,0,0,0,2,0,0,0,0,0,54.23,0,0,1,0,0,0,-3.586270228,-3.586270228,-3.586270228,0,-3.586270228,200,33.94,8000,1050,1655,26.4,35,27.6,-1.68,-1.167455919,0.512544081,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,5,0,0
Y,39,-90600.87117,-59.56664771,90531.85357,59.52127125,37676.98847,24.77119558,-215981.8797,-141.9999209,-2827.83349,-1.859193616,-16480.08576,-10.83503337,211.641,363.258,1.716387656,11,1046.2256,26.82629744,95.11141818,8.646492562,6.218562058,0.311290852,12,88.90585,190,1.22,6.3,2,0,1,0,3,0,0,9,0,9,32.365,0,0,0.666666667,0,0.333333333,0,-3.529561699,-4.101490615,-2.957632782,1.143857833,-3.720204671,180,19.88,11400,1799,3609,26.53,17,22.7,-5.48,-4.812621316,0.667378684,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,5,1,1.73
Zr,40,-96239.53699,-60.14971062,96168.41892,60.10526183,39843.89424,24.9024339,-229307.6467,-143.3172792,-2944.203419,-1.840127137,-17396.02796,-10.87251748,229.839,357.078,1.553600564,12,1283.3934,32.084835,106.94945,8.912454167,6.634169289,0.433288676,44,91.224,175,1.33,7.5,2,0,2,0,4,0,0,8,0,8,23.195,0,0,0.5,0,0.5,0,-4.259452712,-4.418884224,-4.1000212,0.318863024,-4.259452712,155,14.02,21000,2128,4682,25.36,23,17.9,-6.6,-5.874705626,0.725294374,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,5,2,2.83
