element,atomic_number,Etot,Etot/atomic_number^2,Ekin,Ekin/atomic_number^2,Ecoul,Ecoul/atomic_number^2,Eenuc,Eenuc/atomic_number^2,Exc,Exc/atomic_number^2,e_1s,e_1s/atomic_num^2,ENMAX(eV),EAUG(eV),EAUG/ENMAX,ZVAL,EATOM(eV),EATOM/atomic_num^2,EATOM/ZVAL,EATOM/ZVAL^2,FirstIonizationEnergy(eV),Electron affinity (eV),MendeleevNumber,AtomicWeight,CovalentRadius,Electronegativity(Pauling),Electronegativity(Rahm),NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,valence_energy_avg,valence_energy_min,valence_energy_max,valence_energy_range,weighted_valence_energy,atom_radius,molar_vol,heat_fusion,melting_point,boiling_point,heat_cap,Thermal conductivity,electric_pol,GGAU_Etot,mus_fere,FERE correction,is_s,is_p,is_d,is_ds,is_f,Row_1,Row_2,Row_3,Row_4,Row_5,Row_6,Row_7,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column,Row,magnetic_electrons,magnetic_moment
Nb,41,-102075.248,-60.72293159,102001.788,60.67923141,42218.49629,25.11510785,-243228.8164,-144.6929306,-3066.715937,-1.824340236,-18334.01244,-10.90661061,293.235,455.659,1.553903866,13,1555.1913,37.93149512,119.6301,9.202315385,6.75854053,0.917403732,47,92.90638,164,1.6,7,1,0,4,0,5,1,0,6,0,7,18.18,0,0,0.2,0,0.8,0,-3.667060833,-3.925841116,-3.40828055,0.517560566,-3.511792663,145,10.83,26800,2750,5017,24.6,54,15.7,-7.04,-6.686751638,0.353248362,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,3.87
Mo,42,-108111.1977,-61.28752704,108035.5056,61.24461769,44598.84855,25.28279396,-257556.4386,-146.0070514,-3189.113188,-1.807887295,-19299.18913,-10.94058341,224.584,392.427,1.747350657,12,1284.3009,30.57859286,107.025075,8.91875625,7.092270028,0.747232781,50,95.96,154,2.16,8.3,1,0,5,0,6,1,0,5,0,6,15.69,0,0,0.166666667,0,0.833333333,0,-4.098402123,-4.172784447,-4.024019798,0.148764649,-4.147990339,145,9.38,36000,2896,4912,24.06,139,12.8,-7.378,-7.6126,-0.2346,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,5,6,6.7
Tc,43,-114347.3841,-61.84282537,114269.6394,61.80077847,46936.9403,25.38504072,-272244.2219,-147.2386273,-3309.741971,-1.790017291,-20292.67425,-10.97494551,228.699,384.541,1.681428428,13,1559.5964,36.26968372,119.9689538,9.228381065,7.275717608,0.549306315,53,98,147,1.9,10.9,2,0,5,0,7,0,0,5,0,5,14.285,0,0,0.285714286,0,0.714285714,0,-6.175596898,-7.35420367,-4.996990125,2.357213545,-6.680714086,135,8.63,23000,2430,4538,26.64477586,51,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,5,5,5.92
Ru,44,-120790.8327,-62.39195904,120710.5542,62.35049287,49655.36266,25.64843113,-287714.7935,-148.6130132,-3441.956164,-1.777869919,-21304.301,-11.00428771,230.429,379.033,1.644901466,14,1872.7511,42.562525,133.7679357,9.554852551,7.360704623,1.046273066,56,101.07,146,2.2,8.4,1,0,7,0,8,1,0,3,0,4,13.51,0,0,0.125,0,0.875,0,-4.941710194,-5.724595381,-4.158825006,1.565770375,-5.528874084,130,8.17,25700,2607,4423,26.64477586,120,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,5,4,4.9
Rh,45,-127439.1133,-62.93289546,127356.487,62.89209235,52334.61308,25.84425337,-303557.791,-149.905082,-3572.422353,-1.764159187,-22344.26989,-11.03420735,271.47,483.778,1.782068,15,2225.6185,49.45818889,148.3745667,9.891637778,7.459165189,1.142868064,59,102.9055,142,2.28,9.3,1,0,8,0,9,1,0,2,0,3,13.64,0,0,0.111111111,0,0.888888889,0,-5.361268953,-6.515004518,-4.207533387,2.307471131,-6.258618837,135,8.28,21700,2237,3968,24.06,150,8.6,-4.23,-4.76228997,-0.53228997,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,5,3,3.87
Pd,46,-134298.216,-63.46796597,134212.9385,63.4276647,55283.89961,26.12660662,-320084.157,-151.2685052,-3710.897152,-1.753732113,-23405.46323,-11.061183,271.098,473.067,1.745003652,16,2620.5408,56.96827826,163.7838,10.2364875,8.337018866,0.56215801,62,106.42,139,2.2,8.3,0,0,10,0,10,0,0,0,0,0,14.41,0,0,0,0,1,0,-4.374801778,-4.374801778,-4.374801778,0,-4.374801778,140,8.56,16700,1828.05,3236,25.98,72,4.8,-2.84,-3.117404462,-0.277404462,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,5,0,0
Ag,47,-141364.001,-63.99456813,141276.5812,63.95499375,58004.29333,26.2581681,-336803.3408,-152.4686921,-3841.534636,-1.739037861,-24499.07984,-11.09057485,249.846,412.496,1.651001017,11,1037.4134,22.07262553,94.31030909,8.573664463,7.576281441,1.304467763,65,107.8682,145,1.93,12,1,0,10,0,11,1,0,0,0,1,16.33,0,0,0.090909091,0,0.909090909,0,-6.205733508,-8.12820434,-4.283262675,3.844941665,-7.778664189,160,10.27,11300,1234.93,2435,25.35,430,7.2,-0.71,-0.827009585,-0.117009585,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,5,1,1.73
Cd,48,-148639.2308,-64.51355503,148549.6765,64.47468598,60774.43544,26.37779316,-353990.2684,-153.6416095,-3973.074314,-1.724424615,-25618.88466,-11.11930758,274.342,456.106,1.66254529,12,1293.2795,26.94332292,107.7732917,8.981107639,8.99411359,-0.704770367,70,112.411,144,1.69,16.1,2,0,10,0,12,0,0,0,0,0,19.495,0,0,0.166666667,0,0.833333333,0,-9.18055028,-12.80377357,-5.55732699,7.24644658,-11.59603247,155,13,6300,594.22,1040,26.02,97,7.36,-0.91,-0.56,0.35,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,5,0,0
In,49,-156120.133,-65.02296252,156028.5682,64.98482641,63523.14298,26.45695251,-371567.9594,-154.7555016,-4103.884781,-1.709239809,-26766.41056,-11.14802606,239.218,449.704,1.879891981,13,1576.8738,32.18109796,121.2979846,9.330614201,5.786371995,0.299527406,75,114.818,142,1.78,9.3,2,1,10,0,13,0,5,0,0,5,24.26,0,0,0.153846154,0.076923077,0.769230769,0,-5.337227693,-7.90482607,-2.769629315,5.135196755,-6.193093818,155,15.76,3260,429.75,2345,26.74,82,10.2,-2.72,-2.31,0.41,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13,5,1,1.73
Sn,50,-163811.2759,-65.52451036,163717.6436,65.48705744,66347.50909,26.53900364,-389640.2337,-155.8560935,-4236.195031,-1.694478012,-27939.62196,-11.17584878,241.09,439.825,1.824318719,14,1893.0782,37.861564,135.2198714,9.658562245,7.344121791,1.112069599,80,118.71,139,1.96,10.2,2,2,10,0,14,0,4,0,0,4,33.285,0,0,0.142857143,0.142857143,0.714285714,0,-6.990591522,-10.0504983,-3.930684743,6.119813557,-6.990591522,145,16.29,7000,505.08,2875,27.112,67,7.7,-3.97,-3.789493935,0.180506065,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,14,5,2,2.83
Sb,51,-171714.086,-66.0184875,171618.3452,65.98167828,69245.5381,26.62265978,-408207.9302,-156.9426875,-4370.039078,-1.680138054,-29138.59172,-11.20284188,172.037,380.513,2.211809088,5,149.8037,2.937327451,29.96074,5.992148,8.643801261,1.047402772,85,121.76,139,2.05,11.2,2,3,10,0,15,0,3,0,0,3,31.56,0,0,0.133333333,0.2,0.666666667,0,-8.58829446,-12.12552977,-5.051059149,7.074470621,-7.880847397,145,18.19,19700,903.78,1860,25.23,24,6.6,-4.12,-4.286226075,-0.166226075,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,5,3,3.87
Te,52,-179830.0219,-66.50518561,179732.1372,66.46898565,72218.18558,26.70790887,-427274.8598,-158.0158505,-4505.485059,-1.666229682,-30363.33061,-11.22904239,174.982,368.792,2.107599639,6,223.2721,4.293694231,37.21201667,6.202002778,9.009659995,1.970879966,90,127.6,138,2.1,12,2,4,10,0,16,0,2,0,0,2,34.76333333,0.464,0,0.125,0.25,0.625,0,-10.17149373,-14.1770506,-6.165936855,8.011113745,-8.836308103,140,20.46,17500,722.66,1261,25.73,0.449,5.5,-3.14,-3.25034082,-0.11034082,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,5,2,2.83
I,53,-188160.5614,-66.98489192,188060.5002,66.94927027,75267.04087,26.79495937,-446845.5084,-159.0763647,-4642.594119,-1.652756895,-31613.83607,-11.25448062,175.647,370.139,2.107289051,7,315.8678,5.959769811,45.12397143,6.446281633,10.45132997,3.059046448,96,126.90447,139,2.66,13.4,2,5,10,0,17,0,1,0,0,1,43.015,1.062,0,0.117647059,0.294117647,0.588235294,0,-11.75862504,-16.22721086,-7.290039221,8.937171639,-9.843516832,140,25.72,7760,386.85,457.4,54.44,3,5.35,-4.027581151,-3.934404791,0.09317636,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17,5,1,1.73
Xe,54,-196707.1956,-67.45788601,196604.9274,67.42281461,78393.80912,26.88402233,-466924.5149,-160.1250051,-4781.417305,-1.639717869,-32890.10304,-11.27918486,153.098,218.469,1.426987942,8,429.1388,7.947014815,53.64235,6.70529375,12.13034172,-0.798048797,102,131.293,140,2.6,14.9,2,6,10,0,18,0,0,0,0,0,53.65,6.456,0,0.111111111,0.333333333,0.555555556,0,-13.3597158,-18.28839174,-8.431039858,9.857351882,-10.89537783,150.9770115,35.92,2300,161.4,165.1,26.64477586,0.00565,12.44444643,-4.027581151,-3.934404791,0.09317636,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18,5,0,0
Cs,55,-205461.1422,-67.92103874,205357.107,67.88664694,81314.2109,26.88073088,-487217.3145,-161.063575,-4915.145649,-1.624841537,-34197.60465,-11.30499327,220.318,407.933,1.851564557,9,555.6835,10.10333636,61.74261111,6.860290123,3.893856276,0.471598127,5,132.9054519,244,0.79,3.9,1,0,0,0,1,1,0,0,0,1,115.765,0,0,1,0,0,0,-2.141508886,-2.141508886,-2.141508886,0,-2.141508886,260,70.94,2090,301.59,944,32.21,36,59.6,-4.027581151,-3.934404791,0.09317636,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,6,1,1.73
Ba,56,-214428.7598,-68.37651779,214322.8682,68.34275134,84303.99261,26.8826507,-508005.3727,-161.9915092,-5050.247814,-1.610410655,-35531.08413,-11.33006509,187.21,351.165,1.875781208,10,700.2255,12.50402679,70.02255,7.002255,5.212191432,0.144623025,9,137.327,215,0.89,5.2,2,0,0,0,2,0,0,0,0,0,63.59,0,0,1,0,0,0,-3.237256988,-3.237256988,-3.237256988,0,-3.237256988,215,38.16,8000,1000,2143,28.07,18,39.7,-1.93,-1.394499246,0.535500754,1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,6,0,0
La,57,-223611.6136,-68.82475026,223503.6428,68.79151825,87485.09955,26.92677733,-529410.9825,-162.9458241,-5189.373401,-1.59722173,-36888.36598,-11.35375992,136.552,349.734,2.561178159,9,544.3038,9.549189474,60.4782,6.7198,5.577013739,0.55754591,13,138.90547,207,1.1,6,2,0,1,0,3,0,0,9,0,9,36.8975,0,0,0.666666667,0,0.333333333,0,-3.718680833,-3.839118429,-3.598243237,0.240875192,-3.678534968,195,22.39,6200,1193,3743,27.11,13,31.1,-3.86,-3.664217482,0.195782518,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,1,0
Ce,58,-233020.9043,-69.26899652,232910.457,69.23616439,91208.03695,27.11297174,-551797.3451,-164.0301264,-5342.053115,-1.588006277,-38263.24408,-11.37432939,299.9,659.424,2.198812938,12,1063.0861,18.32907069,88.59050833,7.382542361,5.53866594,0.600160679,15,140.116,204,1.12,7.3,2,0,1,1,4,0,0,9,13,22,37.24,0,0,0.5,0,0.25,0.25,-5.550814399,-9.182264598,-3.645618261,5.536646337,-5.074515364,185,20.69,5500,1068,3633,26.64477586,11,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,2,2.54
Pr,59,-242662.0096,-69.7104308,242548.722,69.67788624,95463.34298,27.42411462,-575166.1244,-165.230142,-5507.950161,-1.582289618,-39656.18903,-11.392183,252.625,578.02,2.288055418,13,1294.6661,21.94349322,99.5897,7.660746154,5.461970341,0.109229043,17,140.90765,203,1.13,6.7,2,0,0,3,5,0,0,0,11,11,35.675,0,0,0.4,0,0,0.6,-2.536128409,-4.221520039,0,4.221520039,-3.887658099,185,20.8,6900,1208,3563,26.64477586,13,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,3,3.58
Nd,60,-252530.1281,-70.14725781,252414.3002,70.11508339,99456.20215,27.62672282,-598733.8921,-166.31497,-5666.738369,-1.574093991,-41081.00138,-11.41138927,253.189,569.081,2.247652939,14,1563.009,26.05015,111.6435,7.974535714,5.525192389,0.097486325,19,144.242,201,1.14,7.2,2,0,0,4,6,0,0,0,10,10,34.81,0,0,0.333333333,0,0,0.666666667,-2.769248355,-4.884661522,0,4.884661522,-4.397468863,185,20.59,7100,1297,3373,26.64477586,17,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,4,3.62
Pm,61,-262630.2626,-70.58055969,262511.866,70.5487412,103580.591,27.83676189,-622894.2725,-167.399697,-5828.447311,-1.566365845,-42530.8602,-11.42995437,258.627,562.152,2.173601364,15,1870.3302,30.66115082,124.68868,8.312578667,5.596705852,0.129035163,21,145,199,1.155,7.4,2,0,0,5,7,0,0,0,9,9,33.8425,0,0,0.285714286,0,0,0.714285714,-2.967964039,-5.44660386,0,5.44660386,-4.878227973,185,20.23,7700,1373,3273,26.64477586,15,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,5,2.68
Sm,62,-272964.4656,-71.01052695,272843.474,70.97905151,107836.5953,28.05322458,-647651.4915,-168.4837387,-5993.043598,-1.559064412,-44005.80284,-11.44791957,262.839,553.532,2.105973619,16,2218.7933,35.78698871,138.6745813,8.667161328,5.643345068,0.161993542,23,150.36,198,1.17,8.3,2,0,0,6,8,0,0,0,8,8,33.23,0,0,0.25,0,0,0.75,-3.138552219,-5.925551469,0,5.925551469,-5.316689899,185,19.98,8600,1345,2076,26.64477586,13,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,6,1.55
Eu,63,-283534.7746,-71.43733298,283411.1636,71.40618886,112224.9231,28.27536485,-673010.3511,-169.5667299,-6160.510197,-1.552156764,-45505.85488,-11.46531995,249.668,549.628,2.201435506,17,2619.8085,41.5842619,154.1063824,9.065081315,5.67029217,0.116079825,25,151.964,198,1.185,9.4,2,0,0,7,9,0,0,0,7,7,36.46,0,0,0.222222222,0,0,0.777777778,-3.285312296,-6.334076011,0,6.334076011,-5.709139314,185,28.97,9200,1099,1800,26.64477586,14,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,7,7.94
Gd,64,-294336.1466,-71.85941079,294210.2355,71.82867078,116293.9872,28.39208672,-698520.7841,-170.5373008,-6319.585131,-1.542867464,-47038.28786,-11.483957,256.472,537.243,2.094743286,18,3047.6015,47.61877344,169.3111944,9.406177469,6.150157876,0.212467537,27,157.25,196,1.2,13.8,2,0,1,7,10,0,0,9,7,16,32.05,0,0,0.2,0,0.1,0.7,-6.892272247,-13.30669441,-3.461832558,9.844861852,-10.4425273,180,19.9,10000,1585,3523,26.64477586,11,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,8,7.94
Tb,65,-305391.809,-72.28208497,305262.8916,72.25157198,121403.0969,28.7344608,-725553.767,-171.7287022,-6504.030383,-1.539415475,-48581.35705,-11.49854605,155.628,280.305,1.801121906,9,640.517,9.854107692,71.16855556,7.907617284,5.864104021,0.131315302,29,158.92535,194,1.21,7.7,2,0,0,9,11,0,0,0,5,5,31.73666667,0,0,0.181818182,0,0,0.818181818,-3.519230442,-6.97457762,0,6.97457762,-6.357947818,175,19.3,10800,1629,3503,26.64477586,11,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,5,9.72
Dy,66,-316682.5664,-72.70031368,316550.9637,72.67010186,126195.7298,28.97055321,-752749.175,-172.8074323,-6680.085195,-1.533536546,-50156.83218,-11.51442428,155.729,276.17,1.773401229,9,651.0671,9.86465303,72.34078889,8.037865432,5.938726766,0.015028192,31,162.5,192,1.22,8.4,2,0,0,10,12,0,0,0,4,4,31.24,0,0,0.166666667,0,0,0.833333333,-3.610687911,-7.219235194,0,7.219235194,-6.618167418,175,19.01,11100,1680,2840,26.64477586,11,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,4,10.63
Ho,67,-328217.4972,-73.11594948,328083.1886,73.08602998,131126.1361,29.21054491,-780567.8127,-173.8845651,-6859.009366,-1.527959315,-51757.46913,-11.52984387,154.153,273.459,1.773945366,9,661.5018,9.873161194,73.5002,8.166688889,6.021640926,0.337978848,33,164.93032,192,1.23,8.3,2,0,0,11,13,0,0,0,3,3,30.73333333,0,0,0.153846154,0,0,0.846153846,-3.687342386,-7.419919167,0,7.419919167,-6.838717448,175,18.74,17000,1734,2993,26.64477586,16,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,3,10.6
Er,68,-339998.6057,-73.52911023,339861.5719,73.49947489,136195.9815,29.45414825,-809015.3491,-174.9600668,-7040.810216,-1.522666569,-53383.27512,-11.54482593,155.053,307.908,1.985824202,9,671.8481,9.880119118,74.64978889,8.294420988,6.107664368,0.31196453,35,167.259,189,1.24,7.6,2,0,0,12,14,0,0,0,2,2,30.585,0,0,0.142857143,0,0,0.857142857,-3.750472803,-7.580466346,0,7.580466346,-7.021964305,175,18.46,19900,1802,3141,26.64477586,15,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,2,9.58
Tm,69,-352027.894,-73.93990632,351888.1159,73.91054734,141406.9925,29.70111164,-838097.5057,-176.0339226,-7225.496507,-1.517642619,-55034.2561,-11.55939007,149.221,305.875,2.049812024,9,683.2773,9.902569565,75.9197,8.435522222,6.184359967,1.02606274,37,168.93421,190,1.25,9,2,0,0,13,15,0,0,0,1,1,29.78,0,0,0.133333333,0,0,0.866666667,-3.801185756,-7.704087674,0,7.704087674,-7.170138597,175,19.1,16800,1818,2223,26.64477586,17,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,1,7.56
Yb,70,-364307.3613,-74.34844108,364164.8201,74.31935104,146760.9408,29.95121241,-867820.0443,-177.1061315,-7413.078007,-1.512873063,-56710.41711,-11.57355451,112.543,301.012,2.674639915,8,571.0215,8.15745,71.3776875,8.922210938,6.253800577,-0.020003041,39,173.054,187,1.26,10.2,2,0,0,14,16,0,0,0,0,0,34.12,0,0,0.125,0,0,0.875,-3.840406434,-7.793558712,0,7.793558712,-7.285321447,175,24.84,7700,1097,1469,26.64477586,39,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,0,4.53
Lu,71,-376829.5457,-74.75293507,376684.5947,74.72418066,151709.6095,30.09514174,-897633.0677,-178.0664685,-7590.681963,-1.505788923,-58419.72651,-11.58891619,155.009,298.798,1.927617106,9,702.5713,9.895370423,78.06347778,8.673719753,5.425695396,0.238792783,41,174.9668,187,1.27,6.4,2,0,1,14,17,0,0,9,0,9,28.865,0,0.0022471,0.117647059,0,0.058823529,0.823529412,-7.500310672,-15.45867968,-2.821439794,12.63723989,-13.39321061,175,17.78,22000,1925,3675,26.64477586,16,12.44444643,-4.027581151,-3.934404791,0.09317636,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,1,0
