element,atomic_number,Etot,Ekin,Ecoul,Eenuc,Exc,e_1s,e_2s,e_2p,e_3s,e_3p,e_3d,e_4s,e_4p,e_4d,e_4f,e_5s,e_5p,e_5d,e_5f,e_6s,e_6p,e_6d,e_7s,occ_1s,occ_2s,occ_2p,occ_3s,occ_3p,occ_3d,occ_4s,occ_4p,occ_4d,occ_4f,occ_5s,occ_5p,occ_5d,occ_5f,occ_6s,occ_6p,occ_6d,occ_7s
Sn,50,-163811.2759,163717.6436,66347.50909,-389640.2337,-4236.195031,-27939.62196,-4123.177845,-3859.148539,-792.5579922,-683.4932323,-480.4789573,-123.7120777,-87.4029182,-27.34613703,0,-10.0504983,-3.930684743,0,0,0,0,0,0,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,0,0,0
Sb,51,-171714.086,171618.3452,69245.5381,-408207.9302,-4370.039078,-29138.59172,-4331.283833,-4060.327162,-846.2262746,-733.5151345,-523.5442142,-137.4077044,-99.22846965,-35.30236541,0,-12.12552977,-5.051059149,0,0,0,0,0,0,2,2,6,2,6,10,2,6,10,0,2,3,0,0,0,0,0,0
Te,52,-179830.0219,179732.1372,72218.18558,-427274.8598,-4505.485059,-30363.33061,-4544.894058,-4266.978919,-901.7169036,-785.3392469,-568.3860208,-151.644865,-111.5689694,-43.76627662,0,-14.1770506,-6.165936855,0,0,0,0,0,0,2,2,6,2,6,10,2,6,10,0,2,4,0,0,0,0,0,0
I,53,-188160.5614,188060.5002,75267.04087,-446845.5084,-4642.594119,-31613.83607,-4764.000902,-4479.097253,-959.0204367,-838.9567528,-614.9961866,-166.4196953,-124.4246623,-52.74053738,0,-16.22721086,-7.290039221,0,0,0,0,0,0,2,2,6,2,6,10,2,6,10,0,2,5,0,0,0,0,0,0
Xe,54,-196707.1956,196604.9274,78393.80912,-466924.5149,-4781.417305,-32890.10304,-4988.595276,-4696.673919,-1018.12637,-894.3577746,-663.3654325,-181.7268892,-137.7930721,-62.22335174,0,-18.28839174,-8.431039858,0,0,0,0,0,0,2,2,6,2,6,10,2,6,10,0,2,6,0,0,0,0,0,0
Cs,55,-205461.1422,205357.107,81314.2109,-487217.3145,-4915.145649,-34197.60465,-5224.092898,-4925.134214,-1084.416845,-956.9271191,-718.881232,-202.8871707,-156.9913582,-77.50853162,0,-24.92070454,-13.73911055,0,0,-2.141508886,0,0,0,2,2,6,2,6,10,2,6,10,0,2,6,0,0,1,0,0,0
Ba,56,-214428.7598,214322.8682,84303.99261,-508005.3727,-5050.247814,-35531.08413,-5465.255741,-5159.237553,-1152.65892,-1021.431928,-776.311815,-224.6860761,-176.8093019,-93.40147782,0,-31.4879005,-19.01001049,0,0,-3.237256988,0,0,0,2,2,6,2,6,10,2,6,10,0,2,6,0,0,2,0,0,0
La,57,-223611.6136,223503.6428,87485.09955,-529410.9825,-5189.373401,-36888.36598,-5709.796496,-5396.70479,-1220.601642,-1085.621057,-833.3948543,-244.917252,-195.0437063,-107.7029389,0,-36.05334525,-22.43573354,-3.839118429,0,-3.598243237,0,0,0,2,2,6,2,6,10,2,6,10,0,2,6,1,0,2,0,0,0
Ce,58,-233020.9043,232910.457,91208.03695,-551797.3451,-5342.053115,-38263.24408,-5950.717702,-5630.720126,-1279.895253,-1141.19879,-881.9909343,-256.6780403,-204.9590456,-114.085043,-9.182264598,-37.27219766,-23.13267156,-3.824560337,0,-3.645618261,0,0,0,2,2,6,2,6,10,2,6,10,1,2,6,1,0,2,0,0,0
Pr,59,-242662.0096,242548.722,95463.34298,-575166.1244,-5507.950161,-39656.18903,-6188.586606,-5861.83092,-1331.316909,-1188.9348,-922.8468443,-260.6156096,-207.1632223,-113.0423027,-4.221520039,-35.26884098,-21.17171022,0,0,-3.386865189,0,0,0,2,2,6,2,6,10,2,6,10,3,2,6,0,0,2,0,0,0
Nd,60,-252530.1281,252414.3002,99456.20215,-598733.8921,-5666.738369,-41081.00138,-6438.583299,-6104.92392,-1392.168888,-1246.042547,-972.9299177,-272.1381078,-216.8154276,-119.1049723,-4.884661522,-36.32540469,-21.72837355,0,0,-3.423083544,0,0,0,2,2,6,2,6,10,2,6,10,4,2,6,0,0,2,0,0,0
Pm,61,-262630.2626,262511.866,103580.591,-622894.2725,-5828.447311,-42530.8602,-6693.199587,-6352.637278,-1453.885618,-1304.000432,-1023.84019,-283.6176393,-226.4122032,-125.0858989,-5.44660386,-37.34123295,-22.25080496,0,0,-3.457288257,0,0,0,2,2,6,2,6,10,2,6,10,5,2,6,0,0,2,0,0,0
Sm,62,-272964.4656,272843.474,107836.5953,-647651.4915,-5993.043598,-44005.80284,-6952.477784,-6605.012328,-1516.521386,-1362.862144,-1075.629526,-295.0984224,-235.9957813,-131.0222261,-5.925551469,-38.32865252,-22.74836515,0,0,-3.490105189,0,0,0,2,2,6,2,6,10,2,6,10,6,2,6,0,0,2,0,0,0
Eu,63,-283534.7746,283411.1636,112224.9231,-673010.3511,-6160.510197,-45505.85488,-7216.446952,-6862.077504,-1580.11426,-1422.665342,-1128.334226,-306.6110157,-245.5951421,-136.9391244,-6.334076011,-39.29560913,-23.22695901,0,0,-3.521860876,0,0,0,2,2,6,2,6,10,2,6,10,7,2,6,0,0,2,0,0,0
Gd,64,-294336.1466,294210.2355,116293.9872,-698520.7841,-6319.585131,-47038.28786,-7493.012488,-7131.604081,-1653.483776,-1492.188665,-1190.622123,-326.1689003,-263.1304587,-150.5288988,-13.30669441,-43.76888891,-26.63311708,-3.461832558,0,-3.908289772,0,0,0,2,2,6,2,6,10,2,6,10,7,2,6,1,0,2,0,0,0
