element,atomic_number,Etot,Ekin,Ecoul,Eenuc,Exc,e_1s,e_2s,e_2p,e_3s,e_3p,e_3d,e_4s,e_4p,e_4d,e_4f,e_5s,e_5p,e_5d,e_5f,e_6s,e_6p,e_6d,e_7s,occ_1s,occ_2s,occ_2p,occ_3s,occ_3p,occ_3d,occ_4s,occ_4p,occ_4d,occ_4f,occ_5s,occ_5p,occ_5d,occ_5f,occ_6s,occ_6p,occ_6d,occ_7s
Mg,12,-5418.859293,5402.589578,2603.402848,-13004.29833,-420.5533622,-1250.993604,-79.01495397,-46.77555662,-4.773611855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al,13,-6566.531264,6548.787154,3065.926834,-15706.5688,-474.6764557,-1500.872417,-107.0720973,-69.77048414,-7.80648412,-2.790391603,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Si,14,-7842.277896,7822.939934,3585.584882,-18718.73097,-532.0717456,-1773.758593,-138.099309,-95.64633555,-10.83391411,-4.171315032,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P,15,-9250.407868,9229.379997,4165.111026,-22052.11013,-592.7887566,-2069.749658,-172.2302787,-124.5360929,-13.9421347,-5.607722478,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
S,16,-10795.19451,10772.39306,4807.924052,-25718.60103,-656.9105924,-2388.885884,-209.5260414,-156.4996756,-17.16799012,-7.120566707,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cl,17,-12480.88813,12456.23772,5517.716382,-29730.31687,-724.5253633,-2731.185858,-250.0180263,-191.5676694,-20.52984804,-8.717983925,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ar,18,-14311.72506,14285.15632,6298.296412,-34099.45838,-795.7194111,-3096.659401,-293.7243835,-229.7576799,-24.03810323,-10.4037293,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
K,19,-16277.86731,16249.88148,7003.708062,-38670.21297,-861.243885,-3494.348995,-349.3670152,-279.8378417,-34.88219439,-18.8786067,0,-2.416779269,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Ca,20,-18387.88427,18358.3613,7760.854163,-43578.03394,-929.0657889,-3916.675805,-409.4471438,-334.3021115,-46.4316319,-28.04329275,0,-3.84798934,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0
Sc,21,-20644.71479,20613.31081,8668.343881,-48922.09446,-1004.275013,-4358.83166,-468.2117378,-387.4903034,-54.10652176,-33.55612912,-3.566868509,-4.257983297,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,1,2,0,0,0,0,0,0,0,0,0,0,0
Ti,22,-23055.58758,23022.20784,9666.364819,-54660.62311,-1083.537155,-4823.943205,-529.4764596,-443.1466497,-61.44350062,-38.72036042,-4.626207776,-4.54718591,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,2,2,0,0,0,0,0,0,0,0,0,0,0
V,23,-25624.38838,25588.96331,10752.93204,-60799.68233,-1166.601408,-5312.316049,-593.6258061,-501.6470484,-68.76056075,-43.82437293,-5.568374813,-4.788333215,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0
Cr,24,-28355.08729,28317.33089,12023.84046,-67438.12931,-1258.129328,-5820.003699,-656.1605922,-558.5483428,-72.08527513,-45.01389147,-3.214290578,-4.093817004,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0
Mn,25,-31250.89945,31211.2115,13199.8396,-74317.94195,-1344.008626,-6359.216937,-731.0786814,-627.6659169,-83.71955775,-54.19011514,-7.25292289,-5.201075522,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,5,2,0,0,0,0,0,0,0,0,0,0,0
Fe,26,-34316.09024,34274.19485,14566.14164,-81718.0374,-1438.389333,-6917.82841,-804.5008248,-695.2989739,-91.44715606,-59.52553327,-8.0286923,-5.387255826,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,6,2,0,0,0,0,0,0,0,0,0,0,0
Co,27,-37554.19644,37510.04746,16032.1111,-89559.75237,-1536.602654,-7499.91082,-881.0981015,-766.0575307,-99.37086683,-64.9885456,-8.772080161,-5.564646853,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0
Ni,28,-40968.92426,40922.4781,17601.23082,-97853.94212,-1638.691068,-8105.478043,-960.8915188,-839.9618053,-107.5044862,-70.59063532,-9.488583173,-5.735180611,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,8,2,0,0,0,0,0,0,0,0,0,0,0
Cu,29,-44566.42365,44517.35986,19426.98354,-106759.2312,-1751.53587,-8729.100321,-1037.877918,-911.0711441,-110.4089208,-71.00114629,-5.504101519,-4.681882272,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,10,1,0,0,0,0,0,0,0,0,0,0,0
Zn,30,-48343.03723,48291.87424,21063.151,-115843.3909,-1854.671541,-9387.105274,-1130.124871,-997.2636999,-124.438785,-82.24268697,-10.85581927,-6.060656002,0,0,0,0,0,0,0,0,0,0,0,2,2,6,2,6,10,2,0,0,0,0,0,0,0,0,0,0,0
